,track_id,track_name,track_popularity,artist_id,artist_name,album_id,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
213,11EwENgj6ssityd6UW6ZN3,Rinha (Já Ouviu Falar?),29,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.6,0.799,2,-7.813,1,0.333,0.121,0.000644,0.62,0.761,91.669,127000,4
214,0H8QMg6R44DM9nVll6Ryub,Gueto / Os Mlk É Liso - Ao Vivo,9,2d9LRvQJnAXRijqIJDDs2K,Emicida,1sGdpZ0Ry0qcNAC6ILv4of,10 Anos de Triunfo (Ao Vivo),0.629,0.87,10,-6.735,0,0.166,0.558,0.0,0.945,0.61,140.057,205200,4
215,4dAUOtAYGbzKSKIJpY78OO,Milionário do Sonho,29,2d9LRvQJnAXRijqIJDDs2K,Emicida,57PWjWHzqzODblomXxnQca,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.718,0.285,10,-11.493,1,0.91,0.416,0.0,0.404,0.929,126.738,50181,4
216,6RSfkVnBafdudVxVS2122W,Madagascar - Ao Vivo,10,2d9LRvQJnAXRijqIJDDs2K,Emicida,1sGdpZ0Ry0qcNAC6ILv4of,10 Anos de Triunfo (Ao Vivo),0.669,0.68,5,-8.3,0,0.0507,0.301,0.0,0.952,0.418,117.986,239107,4
217,55gISvc5I59OBzEXfkG7hT,(A)tensão! - Língua Franca,9,2d9LRvQJnAXRijqIJDDs2K,Emicida,2YChVRWTV5GzvdcCFvyoT0,Língua Franca,0.759,0.719,5,-6.53,0,0.0775,0.134,2.35e-06,0.195,0.364,140.043,222027,4
218,0kvRmw3KwsNpkqu0Idfxrc,Inácio da Catingueira,31,2d9LRvQJnAXRijqIJDDs2K,Emicida,3eLKITLeHPsbYEjCB0EIuO,Inácio da Catingueira,0.698,0.551,1,-8.826,1,0.394,0.368,0.0,0.0752,0.451,87.744,235413,4
219,0TAjOgOFn8acTTjswI27WI,Velhos Amigos,31,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.652,0.557,6,-8.453,1,0.317,0.0434,0.000188,0.0832,0.673,85.193,223187,4
220,3w3n1qclgTVw38IJoov6xO,Gueto,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,57PWjWHzqzODblomXxnQca,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.7,0.924,0,-4.236,1,0.0834,0.0366,1.8e-06,0.421,0.686,139.902,184216,4
221,1LjrmhLx8eH9rcwhpU5GIy,Ubuntu Fristili,31,2d9LRvQJnAXRijqIJDDs2K,Emicida,57PWjWHzqzODblomXxnQca,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.587,0.691,7,-5.196,1,0.435,0.0686,0.0,0.27,0.759,100.957,286955,3
222,0aK5pOk6Xo2hB2Mto0vSBa,Ainda Ontem,31,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.903,0.535,1,-8.843,1,0.253,0.245,0.0,0.0984,0.466,88.996,217347,4
223,1LHJFQvjlsbNMdaUfATEDi,Final dos Tempos,28,2d9LRvQJnAXRijqIJDDs2K,Emicida,4U1ciyOHQJHgZSgoCL84vM,Final dos Tempos,0.665,0.611,8,-7.576,0,0.442,0.399,0.0,0.197,0.593,87.77,176973,4
224,08n8EZTWNthUBFjpGallBS,Chapa,5,2d9LRvQJnAXRijqIJDDs2K,Emicida,593RZfvtz4IAPWZpELwqDB,"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",0.777,0.511,0,-8.111,1,0.0947,0.225,1.21e-05,0.136,0.622,140.221,278987,4
225,6Lbp3RoCLwdETIRL4LCwDA,Cê Lá Faz Idéia?,32,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.718,0.655,6,-7.86,0,0.381,0.0109,0.0,0.179,0.569,89.926,138467,4
226,2QlM7fOgPNyVKH7YA6UYJV,Intro (É Necessário Voltar ao Começo),29,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.649,0.523,4,-8.124,0,0.492,0.617,0.0,0.194,0.555,139.555,337773,4
227,1dlwq2SjJVpp1KRlzzeXXg,Sozim,32,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.803,0.678,9,-10.808,0,0.355,0.297,0.0,0.206,0.804,90.018,194240,4
228,1qhAtTklCGQEgnU2ivchW4,Sorrisos e Lágrimas,28,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.646,0.829,7,-4.099,0,0.283,0.236,0.0,0.345,0.81,90.356,174040,4
229,5enxx9qqUre9Rqydpv2dEH,Modo de Voo - Língua Franca,8,2d9LRvQJnAXRijqIJDDs2K,Emicida,2YChVRWTV5GzvdcCFvyoT0,Língua Franca,0.835,0.705,11,-7.693,1,0.183,0.129,0.0,0.123,0.83,160.001,201333,4
230,4SAWsxWbzoQMjaVTHTAXHT,Ismália (Ao Vivo),7,2d9LRvQJnAXRijqIJDDs2K,Emicida,2vZpxsAyqUDsRgeCvH4bbW,AmarElo (Ao Vivo),0.509,0.676,6,-9.184,0,0.127,0.399,7.57e-06,0.121,0.241,155.915,399318,4
231,1JGmmlyyoClHQsGsQQHtsW,Outras Palavras,29,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.813,0.57,7,-10.844,0,0.209,0.653,0.0,0.501,0.762,110.074,221267,4
232,4f8YOQ9FIuoh3AbSEfHZFB,Amoras,6,2d9LRvQJnAXRijqIJDDs2K,Emicida,593RZfvtz4IAPWZpELwqDB,"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",0.653,0.419,2,-11.864,1,0.447,0.855,0.0,0.271,0.826,87.708,56933,3
233,1vhEndyuQUuyZVYJgzPRSL,Passarinhos - Ao Vivo,11,2d9LRvQJnAXRijqIJDDs2K,Emicida,1sGdpZ0Ry0qcNAC6ILv4of,10 Anos de Triunfo (Ao Vivo),0.638,0.79,1,-6.86,0,0.0365,0.401,0.0,0.861,0.655,80.013,222467,4
234,1JzTxNRbn4qqMzkpuEOjlX,Mandume - Ao Vivo,9,2d9LRvQJnAXRijqIJDDs2K,Emicida,1sGdpZ0Ry0qcNAC6ILv4of,10 Anos de Triunfo (Ao Vivo),0.586,0.906,6,-6.322,0,0.595,0.442,0.0,0.979,0.494,144.757,647667,4
235,3u5gwRpfb4BCjqvmi7SuT8,Sementes,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,29Kl0YXBxv72UGgM8McFv0,Sementes,0.746,0.685,11,-8.039,0,0.268,0.294,0.0,0.0637,0.846,80.033,236907,4
