,album_id,album_name,album_type,total_tracks,release_date,release_date_precision,artist_id,artist_name
45,4B3wPgCMLWIERh9QfGaYag,Selvagem,single,1,2018-07-31,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
46,393EULGuLWpFjCzcuSSQBF,Hoje Cedo,single,1,2013-07-30,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
47,1SYy6QlPiObmtHW2PqpZWu,"Sambabook Zeca Pagodinho, Vol. 2",compilation,13,2014-03-20,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
48,7sBS5jW8aR2EwpRmV5QIFC,A Chapa é Quente (Língua Franca),single,1,2017-04-28,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
49,55w8mp0m9mYuVdFxw7LcrB,Avua Besouro,single,1,2011-12-22,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
50,0M5JZjqHKjNtE61lGDtImh,Torcida Brasil,compilation,21,2018-06-11,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
51,3U6paWSMDtMZt8khkSHISF,"Rock In Rio - Por uma Música Melhor, Vol.4",compilation,11,2015-02-10,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
52,1LV8keM1uCWcg3Tn1G7o6m,Beat Henrique Martins,single,1,2017-11-01,day,7tEhUjBrqsI7f4QxcdZwy2,emiciDasul
53,2yfxjIrYGOcoAVM8i1gKQS,Sambabook Zeca Pagodinho,compilation,26,2014-03-20,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
54,0BOHI5c6ti9LqhICsBeKgk,Quero Ver Quarta-Feira,single,1,2011-12-22,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
55,4XN0IrRFJ2b2mpZRSKA3t0,"Yasuke (Bendito, Louvado Seja)",single,1,2017-02-03,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
56,43kNIcy8nmcjnFVJhJDsQU,Triunfo,single,1,2009-01-01,year,2d9LRvQJnAXRijqIJDDs2K,Emicida
57,4ZLLVCn6RnlENQ0nhAS5sS,Rock In Rio (Ao Vivo),album,12,2013-08-07,day,6rM2yY0GnVcOHMU5GD3y9E,Martinho Da Vila
58,1vON23PwC7W4Sa7gPMwhRm,Tão Linda,single,1,2019-04-01,day,7tEhUjBrqsI7f4QxcdZwy2,emiciDasul
59,4O8gP39fPgCbcPQfUSSiMI,Eminência Parda,single,1,2019-05-09,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
60,5PL1t0K3iKhKLFSXRIGjX2,Dasul Beats,single,1,2020-06-12,day,7tEhUjBrqsI7f4QxcdZwy2,emiciDasul
61,7vHi7lo1mCDyDvbLBy1u2c,Minha Vida (Remix),single,1,2014-11-07,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
62,4Xz2O4khnDnU6sdp7ROjaF,"Sambabook Jorge Aragão, Vol. 1",compilation,12,2016-10-27,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
63,0Vd6p2q0LN9kjrS7WL89E3,Crisântemo,single,1,2014-03-03,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
64,13GbSUVtxFeIZ0AdAvPSxe,"Sambabook Jorge Aragão, Vol. 3",compilation,23,2016-10-27,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
